Date,GJR downside rule,Historical downside rule,Buy and hold SPY,Fixed 50% SPY / 50% cash,gjr_threshold,historical_threshold
2020-06-12,,,1.0,0.5,,
2020-06-15,,,1.0,0.5,,
2020-06-16,,,1.0,0.5,,
2020-06-17,,,1.0,0.5,,
2020-06-18,,,1.0,0.5,,
2020-06-19,,,1.0,0.5,,
2020-06-22,,,1.0,0.5,,
2020-06-23,,,1.0,0.5,,
2020-06-24,,,1.0,0.5,,
2020-06-25,,,1.0,0.5,,
2020-06-26,,,1.0,0.5,,
2020-06-29,,,1.0,0.5,,
2020-06-30,,,1.0,0.5,,
2020-07-01,,,1.0,0.5,,
2020-07-02,,,1.0,0.5,,
2020-07-06,,,1.0,0.5,,
2020-07-07,,,1.0,0.5,,
2020-07-08,,,1.0,0.5,,
2020-07-09,,,1.0,0.5,,
2020-07-10,,,1.0,0.5,,
2020-07-13,,,1.0,0.5,,
2020-07-14,,,1.0,0.5,,
2020-07-15,,,1.0,0.5,,
2020-07-16,,,1.0,0.5,,
2020-07-17,,,1.0,0.5,,
2020-07-20,,,1.0,0.5,,
2020-07-21,,,1.0,0.5,,
2020-07-22,,,1.0,0.5,,
2020-07-23,,,1.0,0.5,,
2020-07-24,,,1.0,0.5,,
2020-07-27,,,1.0,0.5,,
2020-07-28,,,1.0,0.5,,
2020-07-29,,,1.0,0.5,,
2020-07-30,,,1.0,0.5,,
2020-07-31,,,1.0,0.5,,
2020-08-03,,,1.0,0.5,,
2020-08-04,,,1.0,0.5,,
2020-08-05,,,1.0,0.5,,
2020-08-06,,,1.0,0.5,,
2020-08-07,,,1.0,0.5,,
2020-08-10,,,1.0,0.5,,
2020-08-11,,,1.0,0.5,,
2020-08-12,,,1.0,0.5,,
2020-08-13,,,1.0,0.5,,
2020-08-14,,,1.0,0.5,,
2020-08-17,,,1.0,0.5,,
2020-08-18,,,1.0,0.5,,
2020-08-19,,,1.0,0.5,,
2020-08-20,,,1.0,0.5,,
2020-08-21,,,1.0,0.5,,
2020-08-24,,,1.0,0.5,,
2020-08-25,,,1.0,0.5,,
2020-08-26,,,1.0,0.5,,
2020-08-27,,,1.0,0.5,,
2020-08-28,,,1.0,0.5,,
2020-08-31,,,1.0,0.5,,
2020-09-01,,,1.0,0.5,,
2020-09-02,,,1.0,0.5,,
2020-09-03,,,1.0,0.5,,
2020-09-04,,,1.0,0.5,,
2020-09-08,,,1.0,0.5,,
2020-09-09,,,1.0,0.5,,
2020-09-10,,,1.0,0.5,,
2020-09-11,,,1.0,0.5,,
2020-09-14,,,1.0,0.5,,
2020-09-15,,,1.0,0.5,,
2020-09-16,,,1.0,0.5,,
2020-09-17,,,1.0,0.5,,
2020-09-18,,,1.0,0.5,,
2020-09-21,,,1.0,0.5,,
2020-09-22,,,1.0,0.5,,
2020-09-23,,,1.0,0.5,,
2020-09-24,,,1.0,0.5,,
2020-09-25,,,1.0,0.5,,
2020-09-28,,,1.0,0.5,,
2020-09-29,,,1.0,0.5,,
2020-09-30,,,1.0,0.5,,
2020-10-01,,,1.0,0.5,,
2020-10-02,,,1.0,0.5,,
2020-10-05,,,1.0,0.5,,
2020-10-06,,,1.0,0.5,,
2020-10-07,,,1.0,0.5,,
2020-10-08,,,1.0,0.5,,
2020-10-09,,,1.0,0.5,,
2020-10-12,,,1.0,0.5,,
2020-10-13,,,1.0,0.5,,
2020-10-14,,,1.0,0.5,,
2020-10-15,,,1.0,0.5,,
2020-10-16,,,1.0,0.5,,
2020-10-19,,,1.0,0.5,,
2020-10-20,,,1.0,0.5,,
2020-10-21,,,1.0,0.5,,
2020-10-22,,,1.0,0.5,,
2020-10-23,,,1.0,0.5,,
2020-10-26,,,1.0,0.5,,
2020-10-27,,,1.0,0.5,,
2020-10-28,,,1.0,0.5,,
2020-10-29,,,1.0,0.5,,
2020-10-30,,,1.0,0.5,,
2020-11-02,,,1.0,0.5,,
2020-11-03,,,1.0,0.5,,
2020-11-04,,,1.0,0.5,,
2020-11-05,,,1.0,0.5,,
2020-11-06,,,1.0,0.5,,
2020-11-09,,,1.0,0.5,,
2020-11-10,,,1.0,0.5,,
2020-11-11,,,1.0,0.5,,
2020-11-12,,,1.0,0.5,,
2020-11-13,,,1.0,0.5,,
2020-11-16,,,1.0,0.5,,
2020-11-17,,,1.0,0.5,,
2020-11-18,,,1.0,0.5,,
2020-11-19,,,1.0,0.5,,
2020-11-20,,,1.0,0.5,,
2020-11-23,,,1.0,0.5,,
2020-11-24,,,1.0,0.5,,
2020-11-25,,,1.0,0.5,,
2020-11-27,,,1.0,0.5,,
2020-11-30,,,1.0,0.5,,
2020-12-01,,,1.0,0.5,,
2020-12-02,,,1.0,0.5,,
2020-12-03,,,1.0,0.5,,
2020-12-04,,,1.0,0.5,,
2020-12-07,,,1.0,0.5,,
2020-12-08,,,1.0,0.5,,
2020-12-09,,,1.0,0.5,,
2020-12-10,,,1.0,0.5,,
2020-12-11,,,1.0,0.5,,
2020-12-14,,,1.0,0.5,,
2020-12-15,,,1.0,0.5,,
2020-12-16,,,1.0,0.5,,
2020-12-17,,,1.0,0.5,,
2020-12-18,,,1.0,0.5,,
2020-12-21,,,1.0,0.5,,
2020-12-22,,,1.0,0.5,,
2020-12-23,,,1.0,0.5,,
2020-12-24,,,1.0,0.5,,
2020-12-28,,,1.0,0.5,,
2020-12-29,,,1.0,0.5,,
2020-12-30,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2020-12-31,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-04,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-05,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-06,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-07,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-08,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-11,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-12,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-13,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-14,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-15,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-19,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-20,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-21,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-22,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-25,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-26,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-27,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-28,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-01-29,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-01,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-02,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-03,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-04,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-05,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-08,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-09,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-10,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-11,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-12,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-16,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-17,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-18,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-19,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-22,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-23,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-24,1.0,1.0,1.0,0.5,0.0010393961466704227,0.0010562846651750528
2021-02-25,1.0,1.0,1.0,0.5,0.001035104664643531,0.0010562846651750528
2021-02-26,1.0,1.0,1.0,0.5,0.001035104664643531,0.0010562846651750528
2021-03-01,1.0,1.0,1.0,0.5,0.0010038360250164452,0.0010507918585089795
2021-03-02,1.0,1.0,1.0,0.5,0.0009889429314149472,0.001030093686942523
2021-03-03,1.0,1.0,1.0,0.5,0.0009374632045123876,0.0010246638493961403
2021-03-04,1.0,1.0,1.0,0.5,0.0009353351358626561,0.0009832137413572717
2021-03-05,1.0,1.0,1.0,0.5,0.0009306835071346156,0.0008934006697994093
2021-03-08,1.0,1.0,1.0,0.5,0.000918445164933911,0.0008934006697994093
2021-03-09,1.0,1.0,1.0,0.5,0.0008788178817305583,0.0008934006697994093
2021-03-10,1.0,1.0,1.0,0.5,0.0008605468544162973,0.0008889885443856002
2021-03-11,1.0,1.0,1.0,0.5,0.0008548435293159671,0.0008713400427303624
2021-03-12,1.0,1.0,1.0,0.5,0.0008531349756852917,0.0008705900505756157
2021-03-15,1.0,1.0,1.0,0.5,0.0008439647345810163,0.0008675900819566287
2021-03-16,1.0,1.0,1.0,0.5,0.0008274865099400573,0.0008675900819566287
2021-03-17,1.0,1.0,1.0,0.5,0.0008199291454851216,0.0008548724354233511
2021-03-18,1.0,1.0,1.0,0.5,0.0008060215773376087,0.0008040018492902376
2021-03-19,1.0,1.0,1.0,0.5,0.0007938825636063021,0.0008040018492902376
2021-03-22,1.0,1.0,1.0,0.5,0.0007858045470506189,0.0008031751586149887
2021-03-23,1.0,1.0,1.0,0.5,0.000765643459314959,0.000799868395913993
2021-03-24,1.0,1.0,1.0,0.5,0.0007648643605227648,0.000799868395913993
2021-03-25,1.0,1.0,1.0,0.5,0.0007584223311244867,0.000799868395913993
2021-03-26,1.0,1.0,1.0,0.5,0.000738962697052584,0.000786681008071865
2021-03-29,1.0,1.0,1.0,0.5,0.0007356041441068123,0.0007269952838409185
2021-03-30,1.0,1.0,1.0,0.5,0.0007302462994065825,0.0006992505923911936
2021-03-31,1.0,1.0,1.0,0.5,0.0007174237447638482,0.0006992505923911936
2021-04-01,1.0,1.0,1.0,0.5,0.000713493526659416,0.000698638815673076
2021-04-05,1.0,1.0,1.0,0.5,0.0007068570576423281,0.0006900361642916461
2021-04-06,1.0,1.0,1.0,0.5,0.0006788745360778546,0.0006654139862558084
2021-04-07,1.0,1.0,1.0,0.5,0.0006667385809887106,0.0006634212749410445
2021-04-08,1.0,1.0,1.0,0.5,0.0006632216129079267,0.0006554504296819887
2021-04-09,1.0,1.0,1.0,0.5,0.0006573839303742041,0.0006554504296819887
2021-04-12,1.0,1.0,1.0,0.5,0.0006404443687782429,0.0006531526422826746
2021-04-13,1.0,1.0,1.0,0.5,0.0006370206336793236,0.0006439614926854176
2021-04-14,1.0,1.0,1.0,0.5,0.0006276999538903631,0.0006420911632898682
2021-04-15,1.0,1.0,1.0,0.5,0.0006134059171955535,0.0006345775130234828
2021-04-16,1.0,1.0,1.0,0.5,0.0006079093507097451,0.0006318892583942841
2021-04-19,1.0,1.0,1.0,0.5,0.0006000267823871979,0.0006175853982334069
2021-04-20,1.0,1.0,1.0,0.5,0.0005897978831142447,0.0005983116762859288
2021-04-21,1.0,1.0,1.0,0.5,0.0005807136650396273,0.0005856833956190851
2021-04-22,1.0,1.0,1.0,0.5,0.0005796630311621851,0.0005830238371558316
2021-04-23,1.0,1.0,1.0,0.5,0.0005772010357266604,0.0005823700246488395
2021-04-26,1.0,1.0,1.0,0.5,0.0005751669865293925,0.0005823700246488395
2021-04-27,1.0,1.0,1.0,0.5,0.0005659062163809276,0.0005734503351680699
2021-04-28,1.0,1.0,1.0,0.5,0.0005551556074893535,0.0005377715772449892
2021-04-29,1.0,1.0,1.0,0.5,0.0005541916920151269,0.0005368451070666006
2021-04-30,1.0,1.0,1.0,0.5,0.0005468987283246064,0.0005331392263530463
2021-05-03,1.0,1.0,1.0,0.5,0.0005291557913800404,0.0005331392263530463
2021-05-04,1.0,1.0,1.0,0.5,0.0005169450974596766,0.0005326027730143989
2021-05-05,1.0,1.0,1.0,0.5,0.0005162910817391312,0.0005293350270445849
2021-05-06,1.0,1.0,1.0,0.5,0.0005106534462589939,0.000522635718506854
2021-05-07,1.0,1.0,1.0,0.5,0.0004973860850084091,0.0005125940492286785
2021-05-10,1.0,1.0,1.0,0.5,0.0004947842608406861,0.0005043347523517148
2021-05-11,1.0,1.0,1.0,0.5,0.0004873027186016848,0.0004904050246885292
2021-05-12,1.0,1.0,1.0,0.5,0.00048344262179759865,0.0004897172384648587
2021-05-13,1.0,1.0,1.0,0.5,0.0004795324766818746,0.00048725812059079876
2021-05-14,1.0,1.0,1.0,0.5,0.0004730009009214296,0.0004872555093088488
2021-05-17,1.0,1.0,1.0,0.5,0.0004562340674775251,0.0004872450641810491
2021-05-18,1.0,1.0,1.0,0.5,0.0004403160588274899,0.0004872450641810491
2021-05-19,1.0,1.0,1.0,0.5,0.000437640134285213,0.00048715902286823034
2021-05-20,1.0,1.0,1.0,0.5,0.0004271549653220148,0.00048715902286823034
2021-05-21,1.0,1.0,1.0,0.5,0.00042021293466796455,0.00048715902286823034
2021-05-24,1.0,1.0,1.0,0.5,0.0004187303377203852,0.00048715902286823034
2021-05-25,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-05-26,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-05-27,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-05-28,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-01,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-02,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-03,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-04,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-07,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-08,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-09,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-10,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-11,1.0,1.0,1.0,0.5,0.00041664370982314586,0.00048715902286823034
2021-06-14,1.0,1.0,1.0,0.5,0.00041331644676259794,0.00048488150588609077
2021-06-15,1.0,1.0,1.0,0.5,0.00040854997459931924,0.00047673686976769034
2021-06-16,1.0,1.0,1.0,0.5,0.0003979566003266869,0.0004750919529879242
2021-06-17,1.0,1.0,1.0,0.5,0.00039511782769271873,0.0004735291431123784
2021-06-18,1.0,1.0,1.0,0.5,0.00039077611282269825,0.0004617778328423746
2021-06-21,1.0,1.0,1.0,0.5,0.0003891993804514078,0.0004383311990311304
2021-06-22,1.0,1.0,1.0,0.5,0.00038595289495249813,0.000426323616303319
2021-06-23,1.0,1.0,1.0,0.5,0.000380597240129211,0.00040084067735811623
2021-06-24,1.0,1.0,1.0,0.5,0.00037821181754905633,0.0003943080463903793
2021-06-25,1.0,1.0,1.0,0.5,0.00037388415028950003,0.00037768504049309466
2021-06-28,1.0,1.0,1.0,0.5,0.00036967916286534413,0.00037607316874403414
2021-06-29,1.0,1.0,1.0,0.5,0.0003683694150063168,0.00036962568174779174
2021-06-30,1.0,1.0,1.0,0.5,0.00036498690127961055,0.00036962568174779174
2021-07-01,1.0,1.0,1.0,0.5,0.0003630205455200643,0.0003693052080062168
2021-07-02,1.0,1.0,1.0,0.5,0.00035704967265737686,0.00036802331303991705
2021-07-06,1.0,1.0,1.0,0.5,0.0003545756512947509,0.0003663903500684225
2021-07-07,1.0,1.0,1.0,0.5,0.0003496331009333316,0.000359858498182444
2021-07-08,1.0,1.0,1.0,0.5,0.0003398688926523433,0.000359858498182444
2021-07-09,1.0,1.0,1.0,0.5,0.0003382806279506569,0.0003580631799083603
2021-07-12,1.0,1.0,1.0,0.5,0.0003375687570289755,0.0003483488090122847
2021-07-13,1.0,1.0,1.0,0.5,0.0003349589753445363,0.0003368684056240148
2021-07-14,1.0,1.0,1.0,0.5,0.000333607007717291,0.0003306454193663975
2021-07-15,1.0,1.0,1.0,0.5,0.0003311313757388315,0.0003273216693648516
2021-07-16,1.0,1.0,1.0,0.5,0.00032820723797019087,0.0003268604831728592
2021-07-19,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00032487653495148197
2021-07-20,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00032430453832822133
2021-07-21,1.0,1.0,1.0,0.5,0.00032820723797019087,0.0003237048185423638
2021-07-22,1.0,1.0,1.0,0.5,0.00032820723797019087,0.0003210173091771704
2021-07-23,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-07-26,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-07-27,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-07-28,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-07-29,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-07-30,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-02,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-03,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-04,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-05,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-06,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-09,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-10,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-11,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-12,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-13,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-16,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-17,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-18,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-19,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-20,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-23,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-24,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-25,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-26,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-27,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-30,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-08-31,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-09-01,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-09-02,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-09-03,1.0,1.0,1.0,0.5,0.00032820723797019087,0.00031770452886410727
2021-09-07,1.0,1.0,1.0,0.5,0.00032519883517925265,0.00031227247533592985
2021-09-08,1.0,1.0,1.0,0.5,0.00032321571776069443,0.000308085446292789
2021-09-09,1.0,1.0,1.0,0.5,0.00032038217306681866,0.0003023103715558288
2021-09-10,1.0,1.0,1.0,0.5,0.0003175614342363755,0.0003023103715558288
2021-09-13,1.0,1.0,1.0,0.5,0.00031088844823650634,0.00030183490051169257
2021-09-14,1.0,1.0,1.0,0.5,0.00030769337857045834,0.00029868826311901483
2021-09-15,1.0,1.0,1.0,0.5,0.00030469054741008925,0.00029370925025448414
2021-09-16,1.0,1.0,1.0,0.5,0.0003013699539212201,0.0002911646515577197
2021-09-17,1.0,1.0,1.0,0.5,0.00029979178343711227,0.00028098625677066115
2021-09-20,1.0,1.0,1.0,0.5,0.0002976811655206445,0.00028098625677066115
2021-09-21,1.0,1.0,1.0,0.5,0.00029328803216000724,0.00028098625677066115
2021-09-22,1.0,1.0,1.0,0.5,0.00028530012028305196,0.00028098625677066115
2021-09-23,1.0,1.0,1.0,0.5,0.0002792411924415587,0.00027995870516447447
2021-09-24,1.0,1.0,1.0,0.5,0.000278234176508042,0.0002758484987397274
2021-09-27,1.0,1.0,1.0,0.5,0.0002753320896341727,0.0002758380765569497
2021-09-28,0.5,1.0,1.0,0.5,0.00027388201096220497,0.0002757963878258387
2021-09-29,0.5,1.0,1.0,0.5,0.00027388201096220497,0.0002757742453325998
2021-09-30,0.5,1.0,1.0,0.5,0.00027388201096220497,0.00027567617434930966
2021-10-01,0.5,1.0,1.0,0.5,0.00027388201096220497,0.0002756381703079722
2021-10-04,0.5,0.5,1.0,0.5,0.00027388201096220497,0.0002756381703079722
2021-10-05,0.5,0.5,1.0,0.5,0.00027388201096220497,0.0002756381703079722
2021-10-06,0.5,0.5,1.0,0.5,0.00027388201096220497,0.0002756381703079722
2021-10-07,1.0,0.5,1.0,0.5,0.00027388201096220497,0.0002756381703079722
2021-10-08,1.0,0.5,1.0,0.5,0.00027121969084498756,0.0002756381703079722
2021-10-11,1.0,0.5,1.0,0.5,0.0002683093578833512,0.0002756381703079722
2021-10-12,1.0,0.5,1.0,0.5,0.0002678504589980961,0.0002756381703079722
2021-10-13,1.0,0.5,1.0,0.5,0.0002675054935797163,0.0002756381703079722
2021-10-14,1.0,0.5,1.0,0.5,0.0002665823037676887,0.0002756381703079722
2021-10-15,1.0,1.0,1.0,0.5,0.0002665823037676887,0.0002756381703079722
2021-10-18,1.0,1.0,1.0,0.5,0.0002665823037676887,0.0002749955024776377
2021-10-19,1.0,1.0,1.0,0.5,0.0002665823037676887,0.0002749955024776377
2021-10-20,1.0,1.0,1.0,0.5,0.0002642865997321858,0.0002720555279134239
2021-10-21,1.0,1.0,1.0,0.5,0.0002623747294533858,0.00027057831494192003
2021-10-22,1.0,1.0,1.0,0.5,0.0002623747294533858,0.00027057831494192003
2021-10-25,1.0,1.0,1.0,0.5,0.0002623747294533858,0.00027057831494192003
2021-10-26,1.0,1.0,1.0,0.5,0.0002623747294533858,0.00027057831494192003
2021-10-27,1.0,1.0,1.0,0.5,0.00026139299399045385,0.00027057831494192003
2021-10-28,1.0,1.0,1.0,0.5,0.00025962209500036883,0.00027057831494192003
2021-10-29,1.0,1.0,1.0,0.5,0.00025758078403011544,0.00027045647718599723
